	EC	Enz	Met	Org	Mode	ChEBI
0	1.1.1.1	alcohol dehydrogenase	2-propanol	Sulfolobus acidocaldarius	+	CHEBI:17824
1	1.1.1.1	alcohol dehydrogenase	ethanol	Saccharomyces cerevisiae	+	CHEBI:16236
2	1.1.1.1	alcohol dehydrogenase	Isopropanol	Saccharomyces cerevisiae	+	CHEBI:17824
3	1.1.1.1	alcohol dehydrogenase	Urea	Thermus sp.	+	CHEBI:16199
4	1.1.1.101	acylglycerone-phosphate reductase	dihydroxyacetone	Saccharomyces cerevisiae	+	CHEBI:16016
5	1.1.1.101	acylglycerone-phosphate reductase	ethanol	Saccharomyces cerevisiae	+	CHEBI:16236
6	1.1.1.101	acylglycerone-phosphate reductase	glycerol	Saccharomyces cerevisiae	+	CHEBI:17754
7	1.1.1.11	D-arabinitol 4-dehydrogenase	D-arabitol	Gluconobacter oxydans	+	CHEBI:18333
8	1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	FMN	Pseudomonas sp.	+	CHEBI:17621
9	1.1.1.14	L-iditol 2-dehydrogenase	cysteine	Rattus norvegicus	+	CHEBI:35235
10	1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD+)	17beta-estradiol	Homo sapiens	+	CHEBI:16469
11	1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD+)	estradiol	Homo sapiens	+	CHEBI:16469
12	1.1.1.143	sequoyitol dehydrogenase	GSH	Trifolium incarnatum	+	CHEBI:16856
13	1.1.1.143	sequoyitol dehydrogenase	L-cysteine	Trifolium incarnatum	+	CHEBI:35235
14	1.1.1.146	11beta-hydroxysteroid dehydrogenase	D-glucose 6-phosphate	Homo sapiens	+	CHEBI:4170
15	1.1.1.146	11beta-hydroxysteroid dehydrogenase	D-glucose 6-phosphate	Rattus norvegicus	+	CHEBI:4170
16	1.1.1.146	11beta-hydroxysteroid dehydrogenase	glucose	Homo sapiens	+	CHEBI:4167
17	1.1.1.146	11beta-hydroxysteroid dehydrogenase	glucose	Mus musculus	+	CHEBI:4167
18	1.1.1.146	11beta-hydroxysteroid dehydrogenase	norepinephrine	Rattus norvegicus	+	CHEBI:18357
19	1.1.1.149	20alpha-hydroxysteroid dehydrogenase	cysteine	Sus scrofa	+	CHEBI:35235
20	1.1.1.159	7alpha-hydroxysteroid dehydrogenase	NAD+	Acinetobacter lwoffii	+	CHEBI:15846
21	1.1.1.159	7alpha-hydroxysteroid dehydrogenase	NAD+	Bacteroides fragilis	+	CHEBI:15846
