,EC,Enz,Met,Org,Mode,ChEBI
2,1.1.1.1,alcohol dehydrogenase,2-propanol,Sulfolobus acidocaldarius,+,CHEBI:17824
13,1.1.1.1,alcohol dehydrogenase,ethanol,Saccharomyces cerevisiae,+,CHEBI:16236
17,1.1.1.1,alcohol dehydrogenase,Isopropanol,Saccharomyces cerevisiae,+,CHEBI:17824
26,1.1.1.1,alcohol dehydrogenase,Urea,Thermus sp.,+,CHEBI:16199
29,1.1.1.101,acylglycerone-phosphate reductase,dihydroxyacetone,Saccharomyces cerevisiae,+,CHEBI:16016
32,1.1.1.101,acylglycerone-phosphate reductase,ethanol,Saccharomyces cerevisiae,+,CHEBI:16236
33,1.1.1.101,acylglycerone-phosphate reductase,glycerol,Saccharomyces cerevisiae,+,CHEBI:17754
45,1.1.1.11,D-arabinitol 4-dehydrogenase,D-arabitol,Gluconobacter oxydans,+,CHEBI:18333
54,1.1.1.125,2-deoxy-D-gluconate 3-dehydrogenase,FMN,Pseudomonas sp.,+,CHEBI:17621
68,1.1.1.14,L-iditol 2-dehydrogenase,cysteine,Rattus norvegicus,+,CHEBI:35235
82,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),17beta-estradiol,Homo sapiens,+,CHEBI:16469
89,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),estradiol,Homo sapiens,+,CHEBI:16469
102,1.1.1.143,sequoyitol dehydrogenase,GSH,Trifolium incarnatum,+,CHEBI:16856
103,1.1.1.143,sequoyitol dehydrogenase,L-cysteine,Trifolium incarnatum,+,CHEBI:35235
111,1.1.1.146,11beta-hydroxysteroid dehydrogenase,D-glucose 6-phosphate,Homo sapiens,+,CHEBI:4170
112,1.1.1.146,11beta-hydroxysteroid dehydrogenase,D-glucose 6-phosphate,Rattus norvegicus,+,CHEBI:4170
115,1.1.1.146,11beta-hydroxysteroid dehydrogenase,glucose,Homo sapiens,+,CHEBI:4167
116,1.1.1.146,11beta-hydroxysteroid dehydrogenase,glucose,Mus musculus,+,CHEBI:4167
119,1.1.1.146,11beta-hydroxysteroid dehydrogenase,norepinephrine,Rattus norvegicus,+,CHEBI:18357
125,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,cysteine,Sus scrofa,+,CHEBI:35235
129,1.1.1.159,7alpha-hydroxysteroid dehydrogenase,NAD+,Acinetobacter lwoffii,+,CHEBI:15846
130,1.1.1.159,7alpha-hydroxysteroid dehydrogenase,NAD+,Bacteroides fragilis,+,CHEBI:15846
131,1.1.1.159,7alpha-hydroxysteroid dehydrogenase,NAD+,Bacteroides intestinalis,+,CHEBI:15846
132,1.1.1.159,7alpha-hydroxysteroid dehydrogenase,NAD+,Escherichia coli,+,CHEBI:15846
135,1.1.1.169,2-dehydropantoate 2-reductase,formate,Escherichia coli,+,CHEBI:30751
145,1.1.1.184,carbonyl reductase (NADPH),2-propanol,Candida viswanathii,+,CHEBI:17824
149,1.1.1.184,carbonyl reductase (NADPH),fatty acids,Sus scrofa,+,CHEBI:28842
154,1.1.1.188,prostaglandin-F synthase,GSH,Homo sapiens,+,CHEBI:16856
155,1.1.1.188,prostaglandin-F synthase,GSH,Ovis aries,+,CHEBI:16856
169,1.1.1.189,prostaglandin-E2 9-reductase,ATP,Gallus gallus,+,CHEBI:15422
172,1.1.1.189,prostaglandin-E2 9-reductase,CTP,Gallus gallus,+,CHEBI:17677
174,1.1.1.189,prostaglandin-E2 9-reductase,GTP,Gallus gallus,+,CHEBI:15996
181,1.1.1.191,indole-3-acetaldehyde reductase (NADPH),indole-3-acetic acid,Brassica rapa,+,CHEBI:16411
182,1.1.1.191,indole-3-acetaldehyde reductase (NADPH),indole-3-ethanol,Brassica rapa,+,CHEBI:17890
190,1.1.1.2,alcohol dehydrogenase (NADP+),adenosine,Rattus norvegicus,+,CHEBI:16335
193,1.1.1.2,alcohol dehydrogenase (NADP+),Isopropanol,Thermococcus guaymasensis,+,CHEBI:17824
198,1.1.1.202,"1,3-propanediol dehydrogenase",fumarate,Klebsiella pneumoniae,+,CHEBI:18012
199,1.1.1.202,"1,3-propanediol dehydrogenase",glycerol,Escherichia coli,+,CHEBI:17754
200,1.1.1.202,"1,3-propanediol dehydrogenase",glycerol,Klebsiella pneumoniae,+,CHEBI:17754
204,1.1.1.205,IMP dehydrogenase,ADP,Homo sapiens,+,CHEBI:16761
205,1.1.1.205,IMP dehydrogenase,AMP,Homo sapiens,+,CHEBI:16027
209,1.1.1.205,IMP dehydrogenase,ATP,Eremothecium gossypii,+,CHEBI:15422
210,1.1.1.205,IMP dehydrogenase,ATP,Schizosaccharomyces pombe,+,CHEBI:15422
211,1.1.1.205,IMP dehydrogenase,ATP,Homo sapiens,+,CHEBI:15422
215,1.1.1.205,IMP dehydrogenase,cysteine,Klebsiella aerogenes,+,CHEBI:35235
216,1.1.1.205,IMP dehydrogenase,dimethyl sulfoxide,Bacillus anthracis,+,CHEBI:28262
217,1.1.1.205,IMP dehydrogenase,glutathione,Escherichia coli,+,CHEBI:16856
218,1.1.1.205,IMP dehydrogenase,glutathione,Klebsiella aerogenes,+,CHEBI:16856
220,1.1.1.205,IMP dehydrogenase,glutathione,Bacillus subtilis,+,CHEBI:16856
244,1.1.1.21,aldose reductase,D-xylose,Cyberlindnera jadinii,+,CHEBI:53455
246,1.1.1.21,aldose reductase,glutathione,Leishmania donovani,+,CHEBI:16856
247,1.1.1.21,aldose reductase,methylglyoxal,Rattus norvegicus,+,CHEBI:17158
254,1.1.1.21,aldose reductase,NADPH,Homo sapiens,+,CHEBI:16474
256,1.1.1.21,aldose reductase,pyridoxal 5'-phosphate,Homo sapiens,+,CHEBI:18405
262,1.1.1.21,aldose reductase,sorbitol,Rattus norvegicus,+,CHEBI:17924
270,1.1.1.216,farnesol dehydrogenase (NADP+),FAD,Manduca sexta,+,CHEBI:16238
273,1.1.1.22,UDP-glucose 6-dehydrogenase,17beta-estradiol,Oryctolagus cuniculus,+,CHEBI:16469
275,1.1.1.22,UDP-glucose 6-dehydrogenase,ADP,Escherichia coli,+,CHEBI:16761
277,1.1.1.22,UDP-glucose 6-dehydrogenase,ATP,Escherichia coli,+,CHEBI:15422
279,1.1.1.22,UDP-glucose 6-dehydrogenase,dATP,Escherichia coli,+,CHEBI:16284
283,1.1.1.22,UDP-glucose 6-dehydrogenase,lactose,Streptococcus equi,+,CHEBI:36218
289,1.1.1.22,UDP-glucose 6-dehydrogenase,UDP,Escherichia coli,+,CHEBI:17659
290,1.1.1.22,UDP-glucose 6-dehydrogenase,UTP,Escherichia coli,+,CHEBI:15713
293,1.1.1.237,hydroxyphenylpyruvate reductase,ascorbic acid,Plectranthus scutellarioides,+,CHEBI:29073
295,1.1.1.237,hydroxyphenylpyruvate reductase,L-tyrosine,Plectranthus scutellarioides,+,CHEBI:58315
299,1.1.1.24,quinate/shikimate dehydrogenase (NAD+),phosphoenolpyruvate,Vigna radiata,+,CHEBI:44897
333,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase,salicylic acid,Salvia miltiorrhiza,+,CHEBI:16914
334,1.1.1.268,2-(R)-hydroxypropyl-CoM dehydrogenase,ethanesulfonate,Xanthobacter autotrophicus,+,CHEBI:42465
336,1.1.1.268,2-(R)-hydroxypropyl-CoM dehydrogenase,methanesulfonate,Xanthobacter autotrophicus,+,CHEBI:25224
338,1.1.1.27,L-lactate dehydrogenase,2-glycerophosphate,Solanum tuberosum,+,CHEBI:17270
339,1.1.1.27,L-lactate dehydrogenase,3-phosphoglycerate,Solanum tuberosum,+,CHEBI:17794
341,1.1.1.27,L-lactate dehydrogenase,ADP,Bos taurus,+,CHEBI:16761
342,1.1.1.27,L-lactate dehydrogenase,"D-fructose 1,6-bisphosphate",Geobacillus stearothermophilus,+,CHEBI:28013
344,1.1.1.27,L-lactate dehydrogenase,"D-fructose 1,6-bisphosphate",Priestia megaterium,+,CHEBI:28013
345,1.1.1.27,L-lactate dehydrogenase,"D-fructose 1,6-bisphosphate",Lactococcus lactis,+,CHEBI:28013
346,1.1.1.27,L-lactate dehydrogenase,"D-fructose 1,6-bisphosphate",Thermoanaerobacter ethanolicus,+,CHEBI:28013
347,1.1.1.27,L-lactate dehydrogenase,"D-fructose 1,6-diphosphate",Geobacillus stearothermophilus,+,CHEBI:28013
348,1.1.1.27,L-lactate dehydrogenase,"D-fructose-1,6-bisphophate",Lactococcus cremoris,+,CHEBI:28013
349,1.1.1.27,L-lactate dehydrogenase,"D-fructose-1,6-bisphosphate",Weizmannia coagulans,+,CHEBI:28013
350,1.1.1.27,L-lactate dehydrogenase,"D-fructose-1,6-bisphosphate",Enterococcus mundtii,+,CHEBI:28013
352,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-bisphosphate",Geobacillus stearothermophilus,+,CHEBI:28013
353,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Thermoanaerobacter ethanolicus,+,CHEBI:28013
354,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Enterococcus faecalis,+,CHEBI:28013
355,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactococcus lactis,+,CHEBI:28013
356,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Staphylococcus epidermidis,+,CHEBI:28013
357,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus uberis,+,CHEBI:28013
358,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Actinomyces viscosus,+,CHEBI:28013
359,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Bifidobacterium bifidum,+,CHEBI:28013
360,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Bifidobacterium longum,+,CHEBI:28013
361,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Butyrivibrio fibrisolvens,+,CHEBI:28013
363,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Enterococcus faecium,+,CHEBI:28013
