,EC,Interaction,Org,EC+Interaction,ChEBI,Mode,Met
2741,1.3.5.1,CHEBI:30794:-,"{'Rattus norvegicus', 'Canis lupus', 'Glycine max', 'Bacillus cereus', 'Rattus sp.', 'Mus musculus', 'Sus scrofa', 'Thermus thermophilus', 'Cavia porcellus', 'Escherichia coli', 'Mesocricetus auratus', 'Oryctolagus cuniculus', 'Ovis aries', 'Cricetulus griseus', 'Saccharomyces cerevisiae', 'Homo sapiens', 'Equus caballus', 'Bos taurus', 'Vigna radiata', 'Sulfolobus acidocaldarius'}",1.3.5.1:CHEBI:30794:-,CHEBI:30794,-,malonate
3900,2.2.1.6,CHEBI:57762:-,"{'Mycobacterium tuberculosis', 'Geobacillus stearothermophilus', 'Thermotoga maritima', 'Serratia marcescens', 'Schizosaccharomyces pombe', 'Corynebacterium glutamicum', 'Bacillus licheniformis', 'Escherichia coli', 'Triticum aestivum', 'Euglena gracilis', 'Nicotiana tabacum', 'Salmonella enterica', 'Pseudomonas aeruginosa', 'Neurospora crassa', 'Saccharomyces cerevisiae', 'Pseudomonas sp.', 'Zea mays', 'Arabidopsis thaliana', 'Bacillus sp.', 'Cereibacter sphaeroides', 'Hordeum vulgare'}",2.2.1.6:CHEBI:57762:-,CHEBI:57762,-,L-valine
6034,2.7.1.1,CHEBI:4170:-,"{'Solanum tuberosum', 'Rattus norvegicus', 'Canis lupus', 'Rattus sp.', 'Equus caballus', 'Sus scrofa', 'Mus musculus', 'Bos taurus', 'Cavia porcellus', 'Solanum lycopersicum', 'Saccharomyces cerevisiae', 'Mesocricetus auratus', 'Homo sapiens', 'Oryctolagus cuniculus', 'Ovis aries', 'Trypanosoma cruzi', 'Zea mays', 'Cricetulus griseus'}",2.7.1.1:CHEBI:4170:-,CHEBI:4170,-,D-glucose 6-phosphate
6130,2.7.1.11,CHEBI:30769:-,"{'Rattus norvegicus', 'Canis lupus', 'Daucus carota', 'Klebsiella aerogenes', 'Trypanosoma brucei', 'Mus musculus', 'Thermus thermophilus', 'Clostridium pasteurianum', 'Bacillus licheniformis', 'Oryctolagus cuniculus', 'Escherichia coli', 'Triticum aestivum', 'Ovis aries', 'Neurospora crassa', 'Saccharomyces cerevisiae', 'Homo sapiens', 'Zea mays', 'Lactiplantibacillus plantarum', 'Gallus gallus', 'Dictyostelium discoideum', 'Aspergillus niger', 'Bos taurus', 'Pisum sativum'}",2.7.1.11:CHEBI:30769:-,CHEBI:30769,-,citrate
6358,2.7.1.30,CHEBI:14336:-,"{'Rattus norvegicus', 'Mycobacterium tuberculosis', 'Staphylococcus aureus', 'Enterococcus faecalis', 'Klebsiella aerogenes', 'Trypanosoma brucei', 'Mus musculus', 'Cavia porcellus', 'Escherichia coli', 'Mesocricetus auratus', 'Oryctolagus cuniculus', 'Pseudomonas aeruginosa', 'Neurospora crassa', 'Halobacterium salinarum', 'Saccharomyces cerevisiae', 'Homo sapiens', 'Mycolicibacterium smegmatis', 'Cucumis sativus', 'Bacillus subtilis', 'Bos taurus'}",2.7.1.30:CHEBI:14336:-,CHEBI:14336,-,alpha-glycerophosphate
6503,2.7.1.40,CHEBI:28013:+,"{'Rattus norvegicus', 'Geobacillus stearothermophilus', 'Schizosaccharomyces pombe', 'Corynebacterium glutamicum', 'Enterococcus faecalis', 'Trypanosoma brucei', 'Mus musculus', 'Sus scrofa', 'Oryctolagus cuniculus', 'Escherichia coli', 'Spinacia oleracea', 'Salmonella enterica', 'Streptococcus mutans', 'Saccharomyces cerevisiae', 'Homo sapiens', 'Zymomonas mobilis', 'Lactiplantibacillus plantarum', 'Arabidopsis thaliana', 'Dictyostelium discoideum', 'Bos taurus', 'Lactococcus lactis'}",2.7.1.40:CHEBI:28013:+,CHEBI:28013,+,"D-fructose 1,6-bisphosphate"
7040,2.7.2.4,CHEBI:57926:-,"{'Mycobacterium tuberculosis', 'Geobacillus stearothermophilus', 'Methanocaldococcus jannaschii', 'Thermotoga maritima', 'Corynebacterium glutamicum', 'Thermus thermophilus', 'Escherichia coli', 'Pseudomonas fluorescens', 'Spinacia oleracea', 'Triticum aestivum', 'Oryza sativa', 'Pseudomonas aeruginosa', 'Synechocystis sp.', 'Saccharomyces cerevisiae', 'Zea mays', 'Lactiplantibacillus plantarum', 'Arabidopsis thaliana', 'Bacillus subtilis', 'Pseudomonas putida'}",2.7.2.4:CHEBI:57926:-,CHEBI:57926,-,L-threonine
7353,2.7.7.27,CHEBI:17794:+,"{'Daucus carota', 'Glycine max', 'Serratia marcescens', 'Klebsiella aerogenes', 'Agrobacterium tumefaciens', 'Clostridium pasteurianum', 'Escherichia coli', 'Spinacia oleracea', 'Triticum aestivum', 'Nicotiana tabacum', 'Oryza sativa', 'Salmonella enterica', 'Synechocystis sp.', 'Rhodospirillum rubrum', 'Solanum lycopersicum', 'Klebsiella pneumoniae', 'Chlamydomonas reinhardtii', 'Beta vulgaris', 'Arachis hypogaea', 'Phaseolus vulgaris', 'Zea mays', 'Mycolicibacterium smegmatis', 'Solanum tuberosum', 'Arabidopsis thaliana', 'Cereibacter sphaeroides', 'Rhodobacter capsulatus', 'Vigna radiata', 'Hordeum vulgare', 'Pisum sativum'}",2.7.7.27:CHEBI:17794:+,CHEBI:17794,+,3-phosphoglycerate
8351,3.1.3.11,CHEBI:16027:-,"{'Rattus norvegicus', 'Gallus gallus', 'Bacillus subtilis', 'Salmonella enterica', 'Mus musculus', 'Sus scrofa', 'Synechocystis sp.', 'Bos taurus', 'Bacillus licheniformis', 'Oryctolagus cuniculus', 'Escherichia coli', 'Ovis aries', 'Saccharomyces cerevisiae', 'Homo sapiens', 'Spinacia oleracea', 'Ricinus communis', 'Pisum sativum', 'Oryza sativa'}",3.1.3.11:CHEBI:16027:-,CHEBI:16027,-,AMP
13471,6.4.1.1,CHEBI:15351:+,"{'Rattus norvegicus', 'Canis lupus', 'Staphylococcus aureus', 'Geobacillus stearothermophilus', 'Sinorhizobium meliloti', 'Corynebacterium glutamicum', 'Methanothermobacter thermautotrophicus', 'Rattus sp.', 'Mus musculus', 'Sus scrofa', 'Cavia porcellus', 'Oryctolagus cuniculus', 'Mesocricetus auratus', 'Ovis aries', 'Pseudomonas fluorescens', 'Cricetulus griseus', 'Saccharomyces cerevisiae', 'Aspergillus nidulans', 'Homo sapiens', 'Mycolicibacterium smegmatis', 'Gallus gallus', 'Bacillus sp.', 'Equus caballus', 'Lactococcus lactis', 'Bos taurus'}",6.4.1.1:CHEBI:15351:+,CHEBI:15351,+,acetyl-CoA
