,interaction,features,odds,p,is_significant,q,log_o,log_q
1,CHEBI:57856:-,IPR029063,147.8107098381071,9.815606294428172e-76,True,5.684021292977466e-71,2.1697059026317596,70.24534430382597
14,CHEBI:16027:-,IPR029057,14.310502283105023,4.2809803953072144e-16,True,1.271297501186924e-13,1.155654877292453,12.895752806641111
15,CHEBI:16027:-,IPR000836,14.310502283105023,4.2809803953072144e-16,True,1.271297501186924e-13,1.155654877292453,12.895752806641111
16,CHEBI:17489:+,IPR011009,66.49346120313862,1.3014554305771897e-29,True,8.373853452651544e-26,1.822778939994561,25.07707464378652
17,CHEBI:16761:-,IPR043129,12.003875968992247,1.771769872687525e-13,True,3.1962507721990405e-11,1.0793214993935565,10.495359154042106
18,CHEBI:17659:-,IPR029044,21.161442236938925,2.538490942829309e-19,True,1.1484291681043723e-16,1.3255452632780522,15.939895785710616
19,CHEBI:17345:-,IPR029057,47.967808930425754,1.816788531495399e-24,True,1.6185629274128548e-21,1.6809498812518449,20.790870411184546
20,CHEBI:17489:+,IPR017441,99.58547008547009,2.7880810447119533e-30,True,2.0181524642147475e-26,1.9981959777607814,25.695046027461864
21,CHEBI:17345:-,IPR000836,47.967808930425754,1.816788531495399e-24,True,1.6185629274128548e-21,1.6809498812518449,20.790870411184546
22,CHEBI:17489:+,IPR008271,102.44615384615385,1.770728667498259e-30,True,1.4648479382498456e-26,2.010495658249689,25.834207455860433
23,CHEBI:17489:+,IPR000719,89.57307692307693,1.5569600627802804e-29,True,9.016044331548048e-26,1.9521774929122613,25.044983961547203
26,CHEBI:28898:-,IPR027417,54.14834205933683,1.0332534849857655e-21,True,6.445121606841669e-19,1.7335851637221071,18.190768883945637
28,CHEBI:16217:-,IPR017853,62.57936507936508,1.5496512740176508e-24,True,1.4244000948541924e-21,1.7964311525473589,20.84636800607708
33,CHEBI:4167:-,IPR017853,17.09375,4.6916926112477364e-15,True,1.1610535715048457e-12,1.2328373480135248,11.935147741267295
37,CHEBI:30769:-,IPR022953,92.04706853839802,6.15610371559182e-22,True,4.0054792580055183e-19,1.964009961901737,18.397345512874445
38,CHEBI:30769:-,IPR035966,92.04706853839802,6.15610371559182e-22,True,4.0054792580055183e-19,1.964009961901737,18.397345512874445
