Organism	EC number	Metabolite (ChEBI)	Mode	Metabolite (names)	Enzyme (name)	Mode (act/inh)
Schizosaccharomyces pombe	6.4.1.1	CHEBI:15351	+	{'acetyl-CoA', 'acetyl Co-A', 'acetyl CoA', 'acetyl coenzyme A'}	pyruvate carboxylase	Activation
Methanocaldococcus jannaschii	6.4.1.1	CHEBI:15351	+	{'acetyl-CoA', 'acetyl Co-A', 'acetyl CoA', 'acetyl coenzyme A'}	pyruvate carboxylase	Activation
Bacillus subtilis	6.4.1.1	CHEBI:15351	+	{'acetyl-CoA', 'acetyl Co-A', 'acetyl CoA', 'acetyl coenzyme A'}	pyruvate carboxylase	Activation
Aspergillus niger	6.4.1.1	CHEBI:15351	+	{'acetyl-CoA', 'acetyl Co-A', 'acetyl CoA', 'acetyl coenzyme A'}	pyruvate carboxylase	Activation
Schizosaccharomyces pombe	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Dictyostelium discoideum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Solanum tuberosum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Klebsiella pneumoniae	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Arabidopsis thaliana	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Rhodospirillum rubrum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Glycine max	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Pseudomonas fluorescens	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Corynebacterium glutamicum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Helicobacter pylori	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Beta vulgaris	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Rhodobacter capsulatus	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Cereibacter sphaeroides	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Pseudomonas putida	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Azotobacter vinelandii	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Mycobacterium tuberculosis	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Halobacterium salinarum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Pseudomonas aeruginosa	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
Paracoccus denitrificans	3.1.3.11	CHEBI:16027	-	"{'AMP2-', ""5'-adenylic acid"", 'adenylate', ""5'-AMP"", ""adenosine 5'-phosphate"", 'adenine nucleotide', ""adenosine-5'-phosphate"", 'AMP', '6-aminopurine nucleotides', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine 5'-monophosphate""}"	fructose-bisphosphatase	Inhibition
