,EC,Enz,Met,Org,Mode,ChEBI
56,1.1.1.1,alcohol dehydrogenase,2-propanol,Sulfolobus acidocaldarius,-,CHEBI:17824
58,1.1.1.1,alcohol dehydrogenase,2-thioacetate,Equus caballus,-,CHEBI:30066
112,1.1.1.1,alcohol dehydrogenase,acetaldehyde,Saccharomyces cerevisiae,-,CHEBI:15343
113,1.1.1.1,alcohol dehydrogenase,acetaldehyde,Meyerozyma guilliermondii,-,CHEBI:15343
114,1.1.1.1,alcohol dehydrogenase,acetaldehyde,Crocus sativus,-,CHEBI:15343
116,1.1.1.1,alcohol dehydrogenase,acetaldehyde,Thermomicrobium roseum,-,CHEBI:15343
117,1.1.1.1,alcohol dehydrogenase,acetamide,Saccharomyces cerevisiae,-,CHEBI:27856
119,1.1.1.1,alcohol dehydrogenase,acetone,Picrophilus torridus,-,CHEBI:15347
120,1.1.1.1,alcohol dehydrogenase,acetone,Drosophila melanogaster,-,CHEBI:15347
131,1.1.1.1,alcohol dehydrogenase,all-trans-retinal,Homo sapiens,-,CHEBI:17898
132,1.1.1.1,alcohol dehydrogenase,all-trans-retinoic acid,Homo sapiens,-,CHEBI:15367
140,1.1.1.1,alcohol dehydrogenase,Butyraldehyde,Geobacillus stearothermophilus,-,CHEBI:15743
146,1.1.1.1,alcohol dehydrogenase,caffeic acid,Mus musculus,-,CHEBI:16433
158,1.1.1.1,alcohol dehydrogenase,coenzyme A,Equus caballus,-,CHEBI:15346
179,1.1.1.1,alcohol dehydrogenase,Cys,Equus caballus,-,CHEBI:35235
181,1.1.1.1,alcohol dehydrogenase,D-glucose,Saccharomyces cerevisiae,-,CHEBI:4167
185,1.1.1.1,alcohol dehydrogenase,dimethyl sulfoxide,Equus caballus,-,CHEBI:28262
186,1.1.1.1,alcohol dehydrogenase,dipicolinic acid,Homo sapiens,-,CHEBI:46837
187,1.1.1.1,alcohol dehydrogenase,dipicolinic acid,Saimiri sciureus,-,CHEBI:46837
188,1.1.1.1,alcohol dehydrogenase,dipicolinic acid,Saccharomyces cerevisiae,-,CHEBI:46837
192,1.1.1.1,alcohol dehydrogenase,DMSO,Picrophilus torridus,-,CHEBI:28262
193,1.1.1.1,alcohol dehydrogenase,DMSO,Homo sapiens,-,CHEBI:28262
211,1.1.1.1,alcohol dehydrogenase,ethanol,Picrophilus torridus,-,CHEBI:16236
