Organism	EC number	Metabolite (ChEBI)	Mode	Metabolite (names)	Enzyme (name)	Mode (act/inh)
Aspergillus niger	6.4.1.1	CHEBI:15351	+	{'acetyl coenzyme A', 'acetyl Co-A', 'acetyl CoA', 'acetyl-CoA'}	pyruvate carboxylase	Activation
Methanocaldococcus jannaschii	6.4.1.1	CHEBI:15351	+	{'acetyl coenzyme A', 'acetyl Co-A', 'acetyl CoA', 'acetyl-CoA'}	pyruvate carboxylase	Activation
Bacillus subtilis	6.4.1.1	CHEBI:15351	+	{'acetyl coenzyme A', 'acetyl Co-A', 'acetyl CoA', 'acetyl-CoA'}	pyruvate carboxylase	Activation
Schizosaccharomyces pombe	6.4.1.1	CHEBI:15351	+	{'acetyl coenzyme A', 'acetyl Co-A', 'acetyl CoA', 'acetyl-CoA'}	pyruvate carboxylase	Activation
Geobacillus stearothermophilus	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Cupriavidus necator	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Solanum lycopersicum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Lactococcus lactis	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Hordeum vulgare	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Cereibacter sphaeroides	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Mycolicibacterium smegmatis	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Zea mays	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Corynebacterium glutamicum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
Halobacterium salinarum	3.1.3.11	CHEBI:16027	-	"{'AMP2-', 'adenine nucleotides', ""adenosine-5'-monophosphate"", ""adenosine-5'-phosphate"", 'adenine nucleotide', ""5'-adenylic acid"", 'AMP', '6-aminopurine nucleotides', 'adenylate', ""adenosine 5'-monophosphate"", ""adenosine 5'-phosphate"", ""5'-AMP""}"	fructose-bisphosphatase	Inhibition
