	Org
0	Homo sapiens
1	Rattus norvegicus
2	Escherichia coli
3	Bos taurus
4	Saccharomyces cerevisiae
5	Mus musculus
6	Sus scrofa
7	Oryctolagus cuniculus
8	Arabidopsis thaliana
9	Gallus gallus
10	Bacillus subtilis
11	Pseudomonas sp.
12	Zea mays
13	Spinacia oleracea
14	Mycobacterium tuberculosis
15	Pseudomonas aeruginosa
16	Salmonella enterica
17	Pisum sativum
18	Pseudomonas putida
19	Glycine max
20	Neurospora crassa
21	Aspergillus niger
22	Oryza sativa
23	Ovis aries
24	Corynebacterium glutamicum
25	Cavia porcellus
26	Solanum tuberosum
27	Vigna radiata
28	Triticum aestivum
29	Saccharolobus solfataricus
30	Ricinus communis
31	Chlamydomonas reinhardtii
32	Plasmodium falciparum
33	Pseudomonas fluorescens
34	Cereibacter sphaeroides
35	Enterococcus faecalis
36	Euglena gracilis
37	Solanum lycopersicum
38	Trypanosoma brucei
39	Hordeum vulgare
40	Pyrococcus furiosus
41	Azotobacter vinelandii
42	Thermus thermophilus
43	Cupriavidus necator
44	Klebsiella aerogenes
45	Geobacillus stearothermophilus
46	Mycolicibacterium smegmatis
47	Bacillus sp.
48	Lactococcus lactis
49	Nicotiana tabacum
50	Phaseolus vulgaris
51	Mesocricetus auratus
52	Thermotoga maritima
53	Agaricus bisporus
54	Serratia marcescens
55	Streptococcus mutans
56	Dictyostelium discoideum
57	Methanocaldococcus jannaschii
58	Drosophila melanogaster
59	Synechocystis sp.
60	Mammalia
61	Schizosaccharomyces pombe
62	Lactiplantibacillus plantarum
63	Candida albicans
64	Beta vulgaris
65	Entamoeba histolytica
66	Trypanosoma cruzi
67	Rhodospirillum rubrum
68	Leishmania donovani
69	Staphylococcus aureus
70	Aspergillus oryzae
71	Klebsiella pneumoniae
72	Rattus sp.
73	Acinetobacter calcoaceticus
74	Bacillus licheniformis
75	Priestia megaterium
76	Bacillus cereus
77	Sulfolobus acidocaldarius
78	Rhodobacter capsulatus
79	Daucus carota
80	Streptomyces sp.
81	Sinorhizobium meliloti
82	Streptococcus pneumoniae
83	Leuconostoc mesenteroides
84	Agrobacterium tumefaciens
85	Methanothermobacter thermautotrophicus
86	Clostridium pasteurianum
87	Halobacterium salinarum
88	Paracoccus denitrificans
89	Catharanthus roseus
90	Equus caballus
91	Canis lupus
92	Arachis hypogaea
93	Aspergillus nidulans
94	Arthrobacter sp.
95	Acetoanaerobium sticklandii
96	Cricetulus griseus
97	Helicobacter pylori
98	Cucumis sativus
99	Zymomonas mobilis
