,Entry,Organism,EC numbers,Interpro_ids,Org
0,A4QHT1,Corynebacterium glutamicum (strain R),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Corynebacterium glutamicum
1,Q8NLP9,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Corynebacterium glutamicum
0,O06913,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Helicobacter pylori
1,O06914,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Helicobacter pylori
2,Q9ZMP0,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Helicobacter pylori
3,Q9ZMP1,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Helicobacter pylori
0,P00893,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Escherichia coli
1,P00894,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']",Escherichia coli
2,P0DP90,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Escherichia coli
3,P08142,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Escherichia coli
4,P0ADF8,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']",Escherichia coli
5,P0ADG1,Escherichia coli (strain K12),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR045865']",Escherichia coli
6,P0ADG0,Escherichia coli O157:H7,2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']",Escherichia coli
7,P0ADF9,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR039557', 'InterPro:IPR045865']",Escherichia coli
8,P40811,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Salmonella typhimurium
9,P21622,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']",Salmonella typhimurium
10,P0ADG3,Shigella flexneri,2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR045865']",Shigella flexneri
11,P0ADG2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR045865']",Escherichia coli
0,Q9WY52,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Thermotoga maritima
0,Q6K2E8,Oryza sativa subsp. japonica (Rice),2.2.1.6,"['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Oryza sativa
1,Q7XKQ8,Oryza sativa subsp. japonica (Rice),2.2.1.6,"['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Oryza sativa
0,P27725,Serratia marcescens,2.7.2.4); Homoserine dehydrogenase,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Serratia marcescens
