	Entry	Organism	EC numbers	Interpro_ids
0	Q4J781	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
0	P00330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
1	P07246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
2	P10127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR001670', 'InterPro:IPR018211', 'InterPro:IPR039697']
3	P32771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.284', 'EC 1.1.1.1', 'EC 1.1.1.-']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR014183', 'InterPro:IPR036291']
4	P00331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
5	P38113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
6	A6ZTT5	Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)	['EC 1.1.1.1']	['InterPro:IPR001670', 'InterPro:IPR018211', 'InterPro:IPR039697']
7	Q9P4C2	Kluyveromyces marxianus (Yeast) (Candida kefyr)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
8	Q6XQ67	Saccharomyces pastorianus (Lager yeast) (Saccharomyces cerevisiae x Saccharomyces eubayanus)	['EC 1.1.1.1']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291']
0	P40471	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 1.1.1.101', 'EC 3.1.1.3']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P27867	Rattus norvegicus (Rat)	['EC 1.1.1.-', 'EC 1.1.1.14', 'EC 1.1.1.9']	['InterPro:IPR002328', 'InterPro:IPR011032', 'InterPro:IPR013149', 'InterPro:IPR013154', 'InterPro:IPR020843', 'InterPro:IPR036291', 'InterPro:IPR045306']
0	P15428	Homo sapiens (Human)	['EC 1.1.1.141', 'EC 1.1.1.-, EC 1.1.1.232']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P28845	Homo sapiens (Human)	['EC 1.1.1.146', 'EC 1.1.1.201']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P16232	Rattus norvegicus (Rat)	['EC 1.1.1.146', 'EC 1.1.1.201']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P50172	Mus musculus (Mouse)	['EC 1.1.1.146', 'EC 1.1.1.201']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P0AET8	Escherichia coli (strain K12)	['EC 1.1.1.159']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
1	P0AET9	Escherichia coli O157:H7	['EC 1.1.1.159']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P0A9J4	Escherichia coli (strain K12)	['EC 1.1.1.169']	['InterPro:IPR003710', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR013332', 'InterPro:IPR013752', 'InterPro:IPR036291']
1	Q8XE72	Escherichia coli O157:H7	['EC 1.1.1.169']	['InterPro:IPR003710', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR013332', 'InterPro:IPR013752', 'InterPro:IPR036291']
2	P0A9J5	Shigella flexneri	['EC 1.1.1.169']	['InterPro:IPR003710', 'InterPro:IPR008927', 'InterPro:IPR013328', 'InterPro:IPR013332', 'InterPro:IPR013752', 'InterPro:IPR036291']
0	Q8WNV7	Sus scrofa (Pig)	['EC 1.1.1.184', 'EC 1.1.1.300']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR029511', 'InterPro:IPR036291']
1	Q28960	Sus scrofa (Pig)	['EC 1.1.1.184', 'EC 1.1.1.196, EC 1.1.1.197', 'EC 1.1.1.71', 'EC 1.1.1.189']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291', 'InterPro:IPR045313']
2	Q29529	Sus scrofa (Pig)	['EC 1.1.1.184']	['InterPro:IPR002347', 'InterPro:IPR020904', 'InterPro:IPR036291']
0	P42330	Homo sapiens (Human)	['EC 1.1.1.-', 'EC 1.1.1.210', 'EC 1.1.1.53', 'EC 1.1.1.62', 'EC 1.1.1.357', 'EC 1.1.1.188', 'EC 1.1.1.239, EC 1.1.1.64']	['InterPro:IPR018170', 'InterPro:IPR020471', 'InterPro:IPR023210', 'InterPro:IPR036812', 'InterPro:IPR044482']
0	P51635	Rattus norvegicus (Rat)	['EC 1.1.1.2', 'EC 1.1.1.33', 'EC 1.1.1.372', 'EC 1.1.1.54', 'EC 1.1.1.19', 'EC 1.1.1.20']	['InterPro:IPR018170', 'InterPro:IPR020471', 'InterPro:IPR023210', 'InterPro:IPR036812', 'InterPro:IPR044481']
0	Q59477	Klebsiella pneumoniae	['EC 1.1.1.202']	['InterPro:IPR001670', 'InterPro:IPR018211', 'InterPro:IPR039697']
0	P45513	Citrobacter freundii	['EC 1.1.1.202']	['InterPro:IPR001670', 'InterPro:IPR018211', 'InterPro:IPR039697']
